event_id,finbert_negative,finbert_neutral,finbert_positive,finbert_sentiment_score,finbert_label
news_000001,0.025264373049139977,0.019478783011436462,0.9552568197250366,0.9299924466758966,positive
news_000002,0.965179443359375,0.01251512672752142,0.022305460646748543,-0.9428739827126265,negative
news_000003,0.034789834171533585,0.01708887703716755,0.9481212496757507,0.9133314155042171,positive
news_000004,0.9455786943435669,0.04157784581184387,0.01284339651465416,-0.9327352978289127,negative
news_000005,0.03028470277786255,0.3604177236557007,0.609297513961792,0.5790128111839294,positive
news_000006,0.0174053143709898,0.8523160815238953,0.13027861714363098,0.11287330277264118,neutral
news_000007,0.9686245322227478,0.01364514697343111,0.017730405554175377,-0.9508941266685724,negative
news_000008,0.9749907851219177,0.016743693500757217,0.00826557632535696,-0.9667252087965608,negative
news_000009,0.026754746213555336,0.02103639394044876,0.9522088766098022,0.9254541303962469,positive
news_000010,0.9747596383094788,0.01867355778813362,0.006566867232322693,-0.9681927710771561,negative
news_000011,0.970443069934845,0.017115725204348564,0.012441189959645271,-0.9580018799751997,negative
news_000012,0.04940296709537506,0.057177506387233734,0.8934195041656494,0.8440165370702744,positive
news_000013,0.024999266490340233,0.0417567603290081,0.933243989944458,0.9082447234541178,positive
news_000014,0.9660421013832092,0.02591834031045437,0.00803957786411047,-0.9580025235190988,negative
news_000015,0.02183152735233307,0.02602863311767578,0.9521398544311523,0.9303083270788193,positive
news_000016,0.554236888885498,0.3478730320930481,0.09789012372493744,-0.4563467651605606,negative
news_000017,0.9346723556518555,0.01470954343676567,0.05061807110905647,-0.884054284542799,negative
news_000018,0.007572179194539785,0.1874927431344986,0.804935097694397,0.7973629184998572,positive
news_000019,0.01053441222757101,0.05137955769896507,0.9380860924720764,0.9275516802445054,positive
news_000020,0.9656364321708679,0.01376364380121231,0.02059991843998432,-0.9450365137308836,negative
news_000021,0.5894328951835632,0.020201658830046654,0.3903654217720032,-0.19906747341156006,negative
news_000022,0.8839219212532043,0.021260155364871025,0.09481802582740784,-0.7891038954257965,negative
news_000023,0.06347689032554626,0.022074496373534203,0.9144486784934998,0.8509717881679535,positive
news_000024,0.033261679112911224,0.04140747711062431,0.9253308176994324,0.8920691385865211,positive
news_000025,0.007530717179179192,0.10288213938474655,0.8895871043205261,0.8820563871413469,positive
news_000026,0.9673754572868347,0.00914762169122696,0.02347692847251892,-0.9438985288143158,negative
news_000027,0.9687355756759644,0.01693340577185154,0.014331053011119366,-0.954404522664845,negative
news_000028,0.9729539752006531,0.009325915947556496,0.01772012561559677,-0.9552338495850563,negative
news_000029,0.962835967540741,0.027338610962033272,0.009825408458709717,-0.9530105590820312,negative
news_000030,0.038245879113674164,0.023216675966978073,0.9385374188423157,0.9002915397286415,positive
news_000031,0.017786934971809387,0.03065319173038006,0.9515599608421326,0.9337730258703232,positive
news_000032,0.9733880758285522,0.016953585669398308,0.009658388793468475,-0.9637296870350838,negative
news_000033,0.12249564379453659,0.01703380048274994,0.8604705929756165,0.7379749491810799,positive
news_000034,0.8521184921264648,0.016651369631290436,0.13123013079166412,-0.7208883613348007,negative
news_000035,0.05008745566010475,0.05454770103096962,0.8953648805618286,0.8452774249017239,positive
news_000036,0.9741619825363159,0.01860366389155388,0.007234328892081976,-0.9669276536442339,negative
news_000037,0.01980159990489483,0.026280464604496956,0.9539179801940918,0.934116380289197,positive
news_000038,0.23776103556156158,0.6563757658004761,0.10586318373680115,-0.13189785182476044,neutral
news_000039,0.12298738956451416,0.8223873972892761,0.054625190794467926,-0.06836219877004623,neutral
news_000040,0.013818786479532719,0.051976509392261505,0.9342045783996582,0.9203857919201255,positive
news_000041,0.025990841910243034,0.23609435558319092,0.7379148006439209,0.7119239587336779,positive
news_000042,0.6472894549369812,0.03823471814393997,0.3144758343696594,-0.3328136205673218,negative
news_000043,0.016290364786982536,0.040125522762537,0.9435840845108032,0.9272937197238207,positive
news_000044,0.01155953947454691,0.3824905753135681,0.605949878692627,0.59439033921808,positive
news_000045,0.020674630999565125,0.02767648734152317,0.9516488909721375,0.9309742599725723,positive
news_000046,0.014241969212889671,0.7973501086235046,0.18840791285037994,0.17416594363749027,neutral
news_000047,0.012624802067875862,0.11438512802124023,0.872990071773529,0.8603652697056532,positive
news_000048,0.019548283889889717,0.03394332155585289,0.9465084075927734,0.9269601237028837,positive
news_000049,0.9288583397865295,0.05227338895201683,0.018868278712034225,-0.9099900610744953,negative
news_000050,0.026881590485572815,0.5167966485023499,0.4563217759132385,0.4294401854276657,neutral
